phrase,complaints,positives,lift
customer support,2038,41,17.13612074571862
customer service,1712,38,15.50232286681452
customer care,1662,22,25.518832882496532
worst app,1608,4,113.57262518968132
delivery partner,1476,57,8.987025796661609
worst experience,1120,5,65.92109256449164
bad experience,863,7,38.09591710925645
worst service,780,2,91.81866464339907
worst customer,761,1,134.3730842185129
cancel the order,635,3,56.062357738998486
delivery time,592,37,5.501685168916221
ordered food,589,8,23.11162114314618
cancellation fee,534,3,47.145352807283764
experience with swiggy,481,20,8.088787123347062
bad service,424,0,149.73505311077392
don use,403,4,28.463786039453716
poor service,382,1,67.45140364188164
pathetic service,375,0,132.43076631259484
support team,368,13,9.282766095816172
worst food,363,2,42.730993930197265
use this app,356,12,9.670841601494105
disappointing experience,326,1,57.563239757207896
worst delivery,325,1,57.38666540212443
don order,314,0,110.88869499241275
placed an order,276,3,24.367261001517452
delivery person,271,17,5.316850025290845
use swiggy,267,8,10.47674506828528
cancel my order,251,3,22.160081562974202
poor customer,248,1,43.790440060698025
swiggy customer,245,5,14.420238998482548
cancelled the order,231,1,40.788676024279205
late delivery,229,6,11.553007804032084
delivery guy,225,5,13.243076631259482
day by day,222,3,19.599753414264036
cancelled my order,220,2,25.89757207890743
multiple times,216,3,19.070030349013656
delivery agent,212,3,18.71688163884674
30 minutes,211,1,37.25718892261001
bad app,203,2,23.896396054628223
order from swiggy,202,7,8.91700493171472
care service,201,1,35.49144537177541
fraud app,199,1,35.1382966616085
waste of time,198,3,17.480861153262516
using swiggy,194,14,4.5673899848254935
cancel order,193,1,34.07885053110774
long time,181,14,4.2613277693474965
missing items,176,0,62.15417298937784
cancellation charges,173,2,20.364908952959027
bad customer,168,0,59.32898330804249
30 mins,167,2,19.658611532625187
pathetic customer,166,1,29.311342943854328
use zomato,163,2,19.18774658573596
proper response,159,1,28.075322458270104
wrong order,158,3,13.949374051593322
far better,156,10,5.008290798730859
order cancel,154,3,13.596225341426404
extremely disappointed,152,1,26.839301972685888
swiggy support,150,4,10.594461305007586
using this app,150,8,5.885811836115326
useless app,147,2,17.304286798179056
order kiya,147,5,8.652143399089528
platform fee,141,4,9.95879362670713
didn receive,140,4,9.888163884673748
tried to cancel,136,0,48.028224582701064
deliver food,135,8,5.297230652503794
the delivery boy,134,7,5.915240895295903
app don,132,0,46.615629742033384
order got,132,3,11.653907435508346
40 minutes,129,1,22.778091805766316
extremely disappointing,128,1,22.601517450682852
