step,loss,accuracy,lr,seconds
1,1.15429,0.2500,0.000e+00,0.3
25,1.10284,0.2500,3.846e-06,3.9
50,1.07115,0.5000,7.853e-06,7.3
75,1.08534,0.3750,1.186e-05,10.2
100,1.12232,0.4375,1.587e-05,13.3
125,1.09852,0.3750,1.987e-05,16.3
150,1.07956,0.3750,2.388e-05,19.4
175,1.06883,0.3125,2.788e-05,22.5
200,1.08677,0.3125,3.189e-05,25.5
225,1.01549,0.5000,3.590e-05,28.7
250,0.94925,0.5000,3.990e-05,31.7
275,0.97020,0.5625,4.391e-05,35.0
300,0.95695,0.4375,4.792e-05,38.2
325,0.90161,0.6250,4.979e-05,41.2
350,1.02298,0.3750,4.934e-05,44.3
375,0.91651,0.6250,4.890e-05,47.3
400,1.21445,0.3125,4.845e-05,50.3
425,0.79377,0.6250,4.801e-05,53.5
450,0.94095,0.5625,4.756e-05,56.4
475,0.95004,0.5625,4.712e-05,59.5
500,0.68620,0.6875,4.668e-05,62.5
525,0.94388,0.4375,4.623e-05,65.4
550,0.78533,0.5625,4.579e-05,68.2
575,1.05606,0.3750,4.534e-05,71.4
600,1.01068,0.4375,4.490e-05,74.2
625,0.69754,0.6875,4.445e-05,77.4
650,0.82300,0.6250,4.401e-05,80.3
675,0.67357,0.7500,4.357e-05,83.2
700,0.84196,0.6250,4.312e-05,86.2
725,1.00695,0.4375,4.268e-05,89.4
750,1.19669,0.2500,4.223e-05,92.5
775,0.86877,0.5625,4.179e-05,95.7
800,0.98362,0.5000,4.134e-05,98.7
825,0.98782,0.4375,4.090e-05,101.6
850,1.26638,0.4375,4.046e-05,104.7
875,0.68106,0.6250,4.001e-05,107.7
900,0.91772,0.5000,3.957e-05,110.7
925,0.76958,0.7500,3.912e-05,113.5
950,0.95973,0.6250,3.868e-05,116.5
975,0.75290,0.7500,3.823e-05,119.6
1000,0.96337,0.5000,3.779e-05,122.6
1025,0.73445,0.6250,3.734e-05,125.7
1050,1.12608,0.3125,3.690e-05,128.5
1075,0.79051,0.6250,3.646e-05,131.8
1100,0.82358,0.6250,3.601e-05,134.8
1125,0.95059,0.5000,3.557e-05,137.9
1150,0.77651,0.6250,3.512e-05,140.9
1175,0.68540,0.7500,3.468e-05,143.9
1200,0.93341,0.6250,3.423e-05,147.1
1225,0.95948,0.5000,3.379e-05,150.0
1250,0.83286,0.7500,3.335e-05,153.0
1275,1.02774,0.5625,3.290e-05,156.0
1300,0.71349,0.6875,3.246e-05,158.9
1325,0.88126,0.6875,3.201e-05,162.0
1350,0.89803,0.5625,3.157e-05,165.0
1375,0.84438,0.5000,3.112e-05,168.0
1400,0.73184,0.7500,3.068e-05,171.0
1425,0.67458,0.7500,3.023e-05,174.1
1450,1.08344,0.5625,2.979e-05,177.1
1475,0.79718,0.6250,2.935e-05,180.2
1500,0.80376,0.5625,2.890e-05,183.2
1525,1.05274,0.5000,2.846e-05,186.2
1550,0.95789,0.5625,2.801e-05,189.4
1575,0.51611,0.7500,2.757e-05,192.5
1600,0.77080,0.6250,2.712e-05,195.6
1625,0.98152,0.5000,2.668e-05,198.7
1650,0.84011,0.5000,2.624e-05,201.7
1675,1.12876,0.4375,2.579e-05,204.7
1700,0.72439,0.7500,2.535e-05,207.8
1725,0.48981,0.8125,2.490e-05,210.8
1750,0.58884,0.7500,2.446e-05,213.9
1775,1.04389,0.5000,2.401e-05,217.1
1800,0.97147,0.5000,2.357e-05,220.2
1825,0.79196,0.6250,2.312e-05,223.1
1850,0.63242,0.6875,2.268e-05,226.1
1875,0.81889,0.5625,2.224e-05,229.4
1900,0.74745,0.5625,2.179e-05,232.5
1925,0.73377,0.7500,2.135e-05,235.6
1950,1.07411,0.5000,2.090e-05,238.9
1975,0.83067,0.4375,2.046e-05,241.8
2000,1.00556,0.5000,2.001e-05,244.8
2025,0.86300,0.6250,1.957e-05,248.7
2050,0.91073,0.6250,1.913e-05,252.2
2075,0.73387,0.6875,1.868e-05,255.2
2100,1.10143,0.5000,1.824e-05,258.3
2125,0.87193,0.6250,1.779e-05,261.4
2150,0.97231,0.4375,1.735e-05,264.4
2175,0.90165,0.5625,1.690e-05,267.3
2200,0.63020,0.7500,1.646e-05,270.4
2225,0.68434,0.6875,1.601e-05,273.6
2250,0.73269,0.7500,1.557e-05,276.7
2275,1.03025,0.5625,1.513e-05,279.7
2300,0.81002,0.5000,1.468e-05,283.1
2325,0.86928,0.5625,1.424e-05,286.0
2350,0.98489,0.5625,1.379e-05,289.0
2375,0.72286,0.7500,1.335e-05,291.9
2400,0.68074,0.6875,1.290e-05,294.8
2425,0.89887,0.5000,1.246e-05,297.9
2450,0.81331,0.6250,1.202e-05,301.0
2475,0.71271,0.7500,1.157e-05,304.1
2500,0.80242,0.6875,1.113e-05,307.2
2525,0.96140,0.5625,1.068e-05,310.4
2550,0.76039,0.7500,1.024e-05,313.4
2575,0.98177,0.5625,9.794e-06,316.4
2600,0.79535,0.6875,9.349e-06,319.4
2625,0.83986,0.6875,8.905e-06,322.7
2650,0.91069,0.6875,8.461e-06,325.7
2675,0.78337,0.6250,8.016e-06,328.8
2700,0.81265,0.6250,7.572e-06,331.8
2725,0.77625,0.6875,7.128e-06,334.7
2750,0.74076,0.6875,6.683e-06,338.0
2775,1.08344,0.6250,6.239e-06,341.1
2800,0.76246,0.5625,5.795e-06,344.2
2825,0.97229,0.4375,5.350e-06,347.3
2850,0.81884,0.5000,4.906e-06,350.2
2875,0.75730,0.6875,4.461e-06,353.2
2900,1.06919,0.4375,4.017e-06,356.3
2925,1.06840,0.5625,3.573e-06,359.3
2950,0.72548,0.6875,3.128e-06,362.4
2975,1.06912,0.5000,2.684e-06,365.5
3000,0.92634,0.5000,2.240e-06,368.5
3025,1.01182,0.4375,1.795e-06,371.5
3050,0.59132,0.6875,1.351e-06,374.4
3075,0.61111,0.8125,9.065e-07,377.4
3100,0.87099,0.5625,4.621e-07,380.5
3125,0.95298,0.5714,1.777e-08,383.6
