step,loss,accuracy,lr,seconds
1,1.06361,0.4375,0.000e+00,0.4
25,1.05910,0.5625,5.123e-07,3.6
50,1.06443,0.4375,1.046e-06,7.2
75,1.09979,0.3125,1.580e-06,10.3
100,1.08674,0.3750,2.113e-06,13.3
125,1.07818,0.5000,2.647e-06,16.4
150,1.08380,0.3125,3.180e-06,19.5
175,1.09649,0.5000,3.714e-06,22.6
200,1.07517,0.4375,4.248e-06,25.9
225,1.06447,0.5625,4.781e-06,28.9
250,1.10866,0.1250,5.315e-06,31.9
275,1.09871,0.4375,5.848e-06,34.8
300,1.09315,0.3750,6.382e-06,37.8
325,1.09144,0.3125,6.916e-06,40.8
350,1.12260,0.1250,7.449e-06,43.8
375,1.11569,0.1875,7.983e-06,46.7
400,1.10781,0.2500,8.517e-06,49.8
425,1.11068,0.3125,9.050e-06,52.9
450,1.09199,0.2500,9.584e-06,55.8
475,1.09599,0.2500,1.012e-05,59.3
500,1.03528,0.5000,1.065e-05,62.5
525,1.01103,0.5000,1.118e-05,65.4
550,1.02716,0.5000,1.172e-05,68.4
575,1.05395,0.5625,1.225e-05,71.5
600,0.95666,0.5000,1.279e-05,74.6
625,0.99403,0.5000,1.332e-05,77.6
650,1.19365,0.4375,1.385e-05,80.7
675,1.11997,0.5000,1.439e-05,84.0
700,0.99125,0.4375,1.492e-05,87.1
725,1.07049,0.3750,1.545e-05,90.2
750,0.99797,0.5625,1.599e-05,93.2
775,0.86758,0.6250,1.652e-05,96.3
800,0.98906,0.5625,1.705e-05,99.3
825,1.12377,0.4375,1.759e-05,102.6
850,1.11331,0.5000,1.812e-05,106.0
875,0.99767,0.5000,1.866e-05,109.1
900,0.78206,0.7500,1.919e-05,112.5
925,1.00806,0.5000,1.972e-05,115.7
950,0.75234,0.6875,1.997e-05,118.7
975,0.86272,0.6875,1.991e-05,121.8
1000,1.29154,0.3125,1.985e-05,125.2
1025,0.89052,0.6250,1.979e-05,129.0
1050,1.03531,0.5625,1.973e-05,132.2
1075,0.86460,0.6250,1.968e-05,135.3
1100,0.84076,0.5625,1.962e-05,138.8
1125,0.87259,0.5625,1.956e-05,141.9
1150,1.05004,0.5000,1.950e-05,145.2
1175,0.88375,0.5625,1.944e-05,148.5
1200,0.79814,0.6250,1.938e-05,151.7
1225,1.32412,0.1250,1.932e-05,154.8
1250,0.86590,0.6875,1.926e-05,157.9
1275,0.92548,0.5625,1.920e-05,161.0
1300,0.84753,0.5625,1.914e-05,164.1
1325,1.01475,0.3750,1.908e-05,167.3
1350,0.56421,0.8125,1.902e-05,170.4
1375,0.73501,0.7500,1.896e-05,173.6
1400,0.94343,0.4375,1.890e-05,176.7
1425,0.75765,0.6875,1.885e-05,179.7
1450,0.74550,0.6250,1.879e-05,182.8
1475,0.60624,0.8125,1.873e-05,186.0
1500,0.93555,0.6250,1.867e-05,189.3
1525,0.69037,0.7500,1.861e-05,192.5
1550,0.82097,0.5625,1.855e-05,195.5
1575,0.93717,0.5000,1.849e-05,198.8
1600,0.91792,0.4375,1.843e-05,201.8
1625,0.96767,0.5000,1.837e-05,204.9
1650,0.91343,0.6250,1.831e-05,208.2
1675,1.11840,0.3750,1.825e-05,211.5
1700,0.92140,0.5000,1.819e-05,214.6
1725,0.84076,0.5625,1.813e-05,217.8
1750,0.87055,0.6250,1.808e-05,221.1
1775,0.82217,0.6875,1.802e-05,224.4
1800,0.96146,0.5000,1.796e-05,227.5
1825,1.10890,0.4375,1.790e-05,231.1
1850,0.92741,0.6250,1.784e-05,234.4
1875,0.94142,0.5625,1.778e-05,237.6
1900,0.71258,0.8125,1.772e-05,240.9
1925,1.02385,0.4375,1.766e-05,244.1
1950,0.68554,0.6875,1.760e-05,247.0
1975,0.78268,0.8125,1.754e-05,250.2
2000,0.69890,0.8125,1.748e-05,253.3
2025,0.88230,0.5625,1.742e-05,257.5
2050,0.84111,0.6250,1.736e-05,260.5
2075,0.83824,0.6250,1.731e-05,263.6
2100,0.96058,0.6875,1.725e-05,266.8
2125,0.80194,0.6250,1.719e-05,270.0
2150,0.93914,0.6250,1.713e-05,273.2
2175,0.98914,0.5000,1.707e-05,276.2
2200,0.91512,0.4375,1.701e-05,279.4
2225,0.86704,0.6250,1.695e-05,282.4
2250,0.95532,0.5000,1.689e-05,285.4
2275,0.86371,0.5625,1.683e-05,288.6
2300,0.86224,0.4375,1.677e-05,291.6
2325,0.81523,0.5625,1.671e-05,294.9
2350,0.74356,0.5625,1.665e-05,297.9
2375,0.93556,0.5000,1.659e-05,301.1
2400,0.91940,0.5625,1.653e-05,304.2
2425,0.89397,0.5000,1.648e-05,307.5
2450,0.69069,0.8125,1.642e-05,310.4
2475,0.68887,0.7500,1.636e-05,313.6
2500,1.17248,0.5000,1.630e-05,316.6
2525,0.73302,0.6875,1.624e-05,319.7
2550,0.97034,0.6875,1.618e-05,322.9
2575,0.70510,0.6250,1.612e-05,326.0
2600,0.76144,0.6875,1.606e-05,329.0
2625,0.64550,0.6250,1.600e-05,332.2
2650,0.66449,0.7500,1.594e-05,335.3
2675,1.15878,0.3750,1.588e-05,338.6
2700,0.94261,0.3125,1.582e-05,341.8
2725,0.84931,0.6250,1.576e-05,344.8
2750,0.86728,0.6875,1.571e-05,348.1
2775,0.87834,0.5625,1.565e-05,351.2
2800,1.00202,0.4375,1.559e-05,354.2
2825,0.82746,0.6875,1.553e-05,357.4
2850,0.75128,0.6250,1.547e-05,360.6
2875,0.82942,0.5625,1.541e-05,363.7
2900,1.05861,0.5000,1.535e-05,366.8
2925,0.96459,0.3750,1.529e-05,370.0
2950,0.92187,0.5000,1.523e-05,373.3
2975,0.83379,0.5625,1.517e-05,376.2
3000,0.89410,0.5625,1.511e-05,379.3
3025,0.68638,0.7500,1.505e-05,383.6
3050,0.84354,0.5625,1.499e-05,386.7
3075,0.97375,0.3750,1.493e-05,389.9
3100,0.89517,0.7500,1.488e-05,393.1
3125,0.79850,0.6250,1.482e-05,396.2
3150,0.95253,0.5625,1.476e-05,399.5
3175,0.78145,0.6250,1.470e-05,402.7
3200,0.96736,0.5625,1.464e-05,405.8
3225,0.87164,0.4375,1.458e-05,409.1
3250,0.86054,0.3750,1.452e-05,412.1
3275,1.04325,0.4375,1.446e-05,415.3
3300,0.93622,0.4375,1.440e-05,418.4
3325,0.73821,0.6250,1.434e-05,421.6
3350,0.67234,0.8125,1.428e-05,424.6
3375,0.85744,0.5625,1.422e-05,427.7
3400,0.94673,0.6250,1.416e-05,430.7
3425,0.51436,0.9375,1.411e-05,433.9
3450,0.97298,0.5000,1.405e-05,436.9
3475,0.78676,0.6250,1.399e-05,440.1
3500,1.00299,0.5000,1.393e-05,443.3
3525,0.70891,0.6875,1.387e-05,446.4
3550,0.76373,0.6875,1.381e-05,449.7
3575,0.79973,0.7500,1.375e-05,452.8
3600,0.57698,0.8750,1.369e-05,456.1
3625,0.64151,0.8750,1.363e-05,459.3
3650,0.75103,0.7500,1.357e-05,462.5
3675,0.75976,0.6250,1.351e-05,465.5
3700,0.76114,0.6875,1.345e-05,468.5
3725,0.98408,0.5000,1.339e-05,471.7
3750,1.01149,0.5625,1.333e-05,474.7
3775,0.91375,0.6250,1.328e-05,477.9
3800,0.90018,0.6250,1.322e-05,481.1
3825,0.98128,0.4375,1.316e-05,484.1
3850,0.71437,0.6875,1.310e-05,487.2
