step,loss,accuracy,lr,seconds
1,1.15429,0.2500,0.000e+00,0.3
25,1.10691,0.3125,1.538e-06,4.2
50,1.06255,0.4375,3.141e-06,7.7
75,1.08811,0.5000,4.744e-06,10.6
100,1.11851,0.3750,6.346e-06,14.0
125,1.09772,0.3125,7.949e-06,17.2
150,1.08576,0.4375,9.551e-06,20.5
175,1.08154,0.3125,1.115e-05,23.6
200,1.11646,0.2500,1.276e-05,26.8
225,1.10447,0.2500,1.436e-05,30.0
250,1.03161,0.5000,1.596e-05,33.0
275,1.07241,0.5625,1.756e-05,36.1
300,1.03872,0.5625,1.917e-05,39.4
325,0.99096,0.5000,1.991e-05,42.3
350,0.99239,0.5000,1.974e-05,45.4
375,0.95050,0.5625,1.956e-05,48.4
400,1.15834,0.2500,1.938e-05,51.5
425,0.94998,0.5000,1.920e-05,54.7
450,0.95715,0.5000,1.903e-05,57.7
475,0.97494,0.3750,1.885e-05,60.8
500,0.75910,0.6250,1.867e-05,63.8
525,1.00207,0.5000,1.849e-05,67.6
550,0.91876,0.5000,1.831e-05,70.4
575,0.99009,0.5000,1.814e-05,73.5
600,0.95702,0.5000,1.796e-05,76.4
625,0.74498,0.6875,1.778e-05,79.6
650,0.87205,0.6875,1.760e-05,82.5
675,0.84884,0.6250,1.743e-05,85.4
700,0.93115,0.6250,1.725e-05,88.4
725,0.99736,0.5625,1.707e-05,91.4
750,1.17169,0.3750,1.689e-05,94.5
775,0.89995,0.6250,1.672e-05,97.6
800,0.97727,0.4375,1.654e-05,100.6
825,1.02607,0.3750,1.636e-05,103.6
850,1.15341,0.5000,1.618e-05,106.7
875,0.66764,0.7500,1.600e-05,109.8
900,0.95474,0.5000,1.583e-05,112.8
925,0.76640,0.7500,1.565e-05,115.7
950,0.93596,0.6250,1.547e-05,118.8
975,0.81810,0.7500,1.529e-05,121.9
1000,1.00868,0.5000,1.512e-05,124.9
1025,0.70027,0.6875,1.494e-05,129.3
1050,1.07432,0.4375,1.476e-05,132.2
1075,0.78525,0.6875,1.458e-05,135.4
1100,0.84424,0.7500,1.440e-05,138.5
1125,0.99375,0.5000,1.423e-05,141.6
1150,0.76407,0.6250,1.405e-05,144.6
1175,0.79150,0.6875,1.387e-05,147.7
1200,0.96589,0.5000,1.369e-05,150.9
1225,0.99147,0.4375,1.352e-05,154.0
1250,0.85886,0.6250,1.334e-05,157.0
1275,1.07997,0.5625,1.316e-05,160.1
1300,0.78444,0.7500,1.298e-05,163.2
1325,0.90821,0.6250,1.280e-05,166.4
1350,0.93387,0.5000,1.263e-05,169.5
1375,0.94193,0.4375,1.245e-05,172.7
1400,0.77247,0.6875,1.227e-05,175.7
1425,0.77706,0.6250,1.209e-05,179.0
1450,1.00796,0.5000,1.192e-05,182.1
